status,publish_at,title,artist,youtube_url,description,keywords
published,2026-07-29T20:00:00+09:00,チンパンジーの楽園,NOX,https://www.youtube.com/watch?v=EJJLBOo103I,人間の本能と社会への問いを、ダークなバンドサウンドと物語で描くNOXのデビュー作品。,"NOX, ノクス, V系, ダークロック, 社会, 本能, 問い, チンパンジーの楽園"
published,2026-07-28T20:00:00+09:00,明日は、きっと。,榎本魅愛,https://www.youtube.com/watch?v=5MkQZT5qiGA,不安な夜を越え、明日への希望と無事を祈る榎本魅愛の楽曲。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, バラード, 希望, 祈り, 明日, 明日は、きっと。"
published,2026-07-27T20:00:00+09:00,Heal You Again,RE:VIVE,https://www.youtube.com/watch?v=XHjDSEoFcXE,傷ついた心に寄り添い、もう一度立ち上がる力を届けるRE:VIVEのデビュー作品。,"RE:VIVE, リバイブ, J-POP, アイドルポップ, 再生, 希望, 癒やし, Heal You Again"
published,2026-07-26T20:00:00+09:00,Echoes of You,神代 煌牙,https://www.youtube.com/watch?v=Uxtp9TLw47g,幼い頃の約束と消えない面影をたどり、終わらない恋の残響を描く神代煌牙の物語作品。,"神代煌牙, 神代 煌牙, かみしろこうが, KOGA KAMISHIRO, J-POP, ロック, ダークポップ, 物語, Echoes of You"
published,2026-07-24T20:00:00+09:00,NAMASTE☆GALAXY,RANGILI,https://www.youtube.com/watch?v=CQ0bfdXVrck,インドの情熱と日本のメロディが響き合う、RANGILIの公式デビュー作品。,"RANGILI, ランギリ, J-POP, インド×J-POP, 文化, 宇宙, 出会い, NAMASTE☆GALAXY"
published,2026-07-23T20:00:00+09:00,忘れない心,朝霧しのぶ,https://www.youtube.com/watch?v=YxZWABTJBGk,認知症、家族、記憶、人生をテーマに、忘れても残る愛を歌う朝霧しのぶの演歌作品。,"朝霧しのぶ, あさぎりしのぶ, 演歌, 歌謡曲, 家族, 記憶, 人生, 忘れない心"
published,2026-07-22T20:00:00+09:00,SMILE AND SAY GOODBYE ― 大好きだから、笑ってさようなら。―,榎本魅愛,https://www.youtube.com/watch?v=b2n8gcpen58,好きだからこそ相手を手放し、最後は笑顔で別れたいと願う切ないバラード。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, バラード, 別れ, 愛, 笑顔, SMILE AND SAY GOODBYE ― 大好きだから、笑ってさようなら。―"
published,2026-07-21T20:00:00+09:00,忘却の生き物,神代 煌牙,https://www.youtube.com/watch?v=yREvkT9gEk4,弱さと罪、自己正当化、傷ついた少年少女、愛と身体の分離、忘却と社会への問いを描く物語作品。,"神代煌牙, 神代 煌牙, かみしろこうが, KOGA KAMISHIRO, ロック, ダークポップ, 忘却, 社会, 痛み, 忘却の生き物"
published,2026-07-20T20:00:00+09:00,"My Queen, My Oath",神代 煌牙,https://www.youtube.com/watch?v=_TfwreiEMMM,夕暮れの海を舞台に、大切な人を守り抜く覚悟と永遠の誓いを描いた神代煌牙のラブソング。,"神代煌牙, 神代 煌牙, かみしろこうが, KOGA KAMISHIRO, J-POP, ロック, シネマティック, 誓い, 愛, 運命, My Queen, My Oath"
published,2026-07-18T20:00:00+09:00,RED MOON // RISING,ECLYPSE,https://www.youtube.com/watch?v=BZkMHt0P2oo,赤い月と崩壊した近未来都市を舞台に、壊れたコードの先で5人の運命が再び動き始めるECLYPSEの2nd Single。,"ECLYPSE, エクリプス, K-POP風, ダークポップ, サイバーパンク, 覚醒, 反逆, 運命, RED MOON // RISING"
